     0.000     -0.567     -0.608     -4.342     -1.368     -3.450     -0.639     -1.180      0.061     -0.660     -0.124      2.391      0.369      0.570      1.840      1.887     -0.548     -0.108      1.118      1.383      1.498
     1.000     -1.747      2.250     -0.617      0.314     -1.278     -0.632      0.521      0.165     -0.317      0.676      0.726     -0.770     -0.196     -0.679      0.229      0.005     -1.628     -0.550     -0.801     -0.171
     0.000     -2.051     -1.394      0.677     -0.679     -1.107     -2.338     -1.248      2.525     -1.554     -0.077     -0.050     -0.114      1.558     -0.219     -0.135      0.671     -0.965      2.035      0.153     -1.612
     1.000     -1.104      0.593      0.286     -0.145      0.868     -0.632     -0.460      0.634      1.088      0.114     -0.683     -1.684     -0.641      0.192      0.021      1.082     -0.659     -0.440      1.743      1.616
     0.000     -2.440      0.231     -2.068     -2.181     -1.074     -1.266     -0.524     -0.658      1.121     -0.676     -0.736     -1.273     -0.013     -0.512     -0.492     -2.481     -0.852      1.309     -0.899     -0.487
     1.000      0.975      1.284      1.120      2.039     -0.484      0.424      0.801     -0.685      0.341      0.603     -1.421      0.025     -1.624      0.551      1.236     -1.321      0.779      0.818     -1.705      1.058
     0.000     -0.336      1.272      0.617     -0.779      0.690     -0.426      1.401     -0.634      0.407     -0.216      1.019     -0.811     -1.331     -0.402      0.984     -0.240     -1.549     -0.396     -0.857     -0.745
     1.000      2.108      0.166      1.139      1.248      1.392     -0.971      1.418     -0.037     -0.139      0.288      1.974     -0.259     -1.469     -1.246     -0.199      1.789      0.583     -0.592     -0.337      0.228
     1.000      1.346      0.433      0.314      0.061     -1.570     -0.611     -0.981      0.730     -0.006      0.112     -0.076     -0.335     -1.391      0.023     -0.713     -0.502      1.516     -0.124      0.719      1.460
     0.000      0.367      0.402     -0.084     -2.083     -1.406     -0.918     -0.964      1.178     -0.167      0.601      0.955      0.234      0.798     -1.340      0.236      0.058     -0.356      1.050     -1.116     -0.867
     1.000     -1.567     -2.480     -1.097     -2.042     -1.413     -0.128     -1.129     -1.550     -0.873      0.977      0.394     -0.928      0.020     -0.118      1.060     -0.870      0.384      0.675     -2.397     -0.649
     1.000      1.742      2.132      1.128      0.853      1.781      0.434      2.174      0.030     -0.373      0.395      1.137     -1.490      0.252     -1.344     -0.330      0.424     -0.014     -0.101      0.288      1.673
     1.000      0.856      1.709      0.455      1.185      1.808      0.496     -0.349      1.370      0.693      0.734      0.451      1.183     -1.833      1.891      0.777     -1.464     -1.005     -0.773     -1.847      0.294
     1.000      2.880     -0.798      0.458      0.512     -0.043      0.097      0.680     -0.807     -0.165      0.817      0.491      1.224     -0.493      1.138      0.418     -0.682      0.647     -0.484      1.759      0.674
     0.000     -3.071     -3.191     -2.440     -4.660     -3.263     -1.739     -3.182     -0.368     -0.033     -0.945     -1.225     -0.153     -1.643     -0.046     -0.311     -0.095      0.433      1.416      1.919      0.386
     1.000     -0.824     -0.906     -0.602     -0.006      1.269      0.791      0.054     -0.947     -0.654     -0.295      1.354      0.464      1.578      1.293      0.390      0.568     -0.732     -0.932      0.570      0.377
     1.000      0.118      0.066     -0.993      0.392     -0.108      1.696      0.511     -0.631      1.079      0.262     -0.147      0.644     -0.189      1.304      1.068      1.402      0.170      0.358      1.044      0.403
     1.000      1.913     -0.797     -0.419      2.951      0.188     -1.050      0.997      1.158      0.326      0.243     -2.078     -0.871      0.856     -2.095     -0.853      0.615     -1.069     -0.278     -0.663      1.294
     0.000     -1.374     -1.460     -1.194     -0.390     -1.487      0.251      0.168     -0.367     -0.282     -1.294      1.304     -1.164      0.373      2.282     -2.633      0.388     -0.114     -0.626     -0.141      0.812
     1.000      1.706      2.002      0.833      0.596      1.392     -0.030     -0.060     -1.220      0.970      1.432      2.752      0.803     -0.323      0.131     -0.343      0.048      1.665      0.339      0.478     -1.378
     0.000     -0.321     -1.315     -1.890      0.389     -1.714      0.648      0.277     -0.688     -0.696     -0.445      0.916      0.963     -0.640     -0.547     -2.060      0.576     -1.055     -0.122      1.037     -0.460
     1.000      2.714     -0.283      0.895      2.083      2.072     -0.488      1.327     -1.451      1.244      2.063      0.737     -0.736      2.096     -0.157      0.566     -0.531     -0.111     -0.568      1.621      0.405
     0.000     -1.993     -1.232     -2.246     -0.959     -0.090      1.206     -0.135     -0.215     -0.055     -1.165     -1.310      0.720     -0.029     -1.114      0.271     -1.254     -0.615     -0.126      0.998     -0.032
     1.000      0.911      0.793      0.528      1.974      2.272     -1.038      0.150      1.263      0.362      0.640      0.742      0.557      0.646      1.376     -0.861      2.661     -1.176      0.561     -1.349     -0.528
     1.000     -1.484     -3.184     -1.523     -1.400     -2.350     -2.106     -0.447      0.855      0.009     -2.381     -0.785     -0.289     -0.233      0.300     -0.077     -0.990      0.239      0.528      0.064     -0.410
     0.000     -1.942     -1.524     -1.572     -0.701     -0.312     -0.042     -0.705     -0.874     -1.436      1.016      1.391      0.602      0.000      0.831      2.230     -0.322      0.718     -0.094      0.564     -0.012
     1.000      0.722      0.379      2.272      0.887      1.336      0.759      1.379     -0.894      1.589     -1.206      0.741     -0.397     -1.254     -1.042     -1.329      0.222     -2.356      0.702      0.610      1.429
     0.000      0.468      1.198      0.243     -0.051     -1.398      0.668     -0.391     -1.326      0.270      1.612     -0.413     -1.176     -2.105      0.547      0.653      1.902     -0.888     -0.862      0.735     -0.732
     1.000     -0.107      0.036     -1.662     -1.607      0.794     -1.061      0.032     -1.564      0.429      0.417     -0.567     -0.979      0.100     -0.121      0.611      2.031     -0.665     -0.093     -0.790     -0.614
     0.000     -0.979     -1.106     -0.977     -1.262     -0.449      1.043     -1.856     -0.663     -1.337      1.133     -0.942     -0.943      0.139      0.693      1.558      0.215     -1.017      0.658      0.388     -2.450
     1.000     -0.849     -1.086     -1.488     -0.505      2.232     -0.228     -0.852     -0.471     -0.204      0.169     -1.244     -1.028      0.179     -0.886     -0.108      0.513      2.120      1.489     -0.517      2.179
     0.000      1.908      1.011      1.914      0.842      0.751     -0.789      0.429      0.640      0.665      1.253      0.073     -0.279     -0.644     -2.720      0.134     -0.050      0.073      0.505      1.537      0.663
