-3.00000	-0.60526	-1.10008	-0.11045	
-2.90000	-0.57182	-1.05091	-0.09274	
-2.80000	-0.53838	-1.00178	-0.07498	
-2.70000	-0.50494	-0.95271	-0.05718	
-2.60000	-0.47150	-0.90369	-0.03931	
-2.50000	-0.43806	-0.85474	-0.02138	
-2.40000	-0.40462	-0.80586	-0.00338	
-2.30000	-0.37118	-0.75705	0.01469	
-2.20000	-0.33774	-0.70834	0.03286	
-2.10000	-0.30430	-0.65972	0.05113	
-2.00000	-0.27086	-0.61122	0.06951	
-1.90000	-0.23742	-0.56285	0.08802	
-1.80000	-0.20398	-0.51463	0.10667	
-1.70000	-0.17054	-0.46657	0.12550	
-1.60000	-0.13710	-0.41872	0.14453	
-1.50000	-0.10366	-0.37109	0.16378	
-1.40000	-0.07021	-0.32373	0.18330	
-1.30000	-0.03677	-0.27668	0.20313	
-1.20000	-0.00333	-0.23000	0.22334	
-1.10000	0.03011	-0.18376	0.24398	
-1.00000	0.06355	-0.13805	0.26514	
-0.90000	0.09699	-0.09295	0.28693	
-0.80000	0.13043	-0.04860	0.30946	
-0.70000	0.16387	-0.00514	0.33288	
-0.60000	0.19731	0.03726	0.35736	
-0.50000	0.23075	0.07842	0.38308	
-0.40000	0.26419	0.11814	0.41024	
-0.30000	0.29763	0.15623	0.43904	
-0.20000	0.33107	0.19252	0.46963	
-0.10000	0.36451	0.22690	0.50213	
0.00000	0.39795	0.25933	0.53658	
0.10000	0.43139	0.28986	0.57293	
0.20000	0.46484	0.31860	0.61107	
0.30000	0.49828	0.34571	0.65084	
0.40000	0.53172	0.37139	0.69205	
0.50000	0.56516	0.39583	0.73449	
0.60000	0.59860	0.41922	0.77798	
0.70000	0.63204	0.44172	0.82235	
0.80000	0.66548	0.46349	0.86747	
0.90000	0.69892	0.48463	0.91321	
1.00000	0.73236	0.50526	0.95946	
1.10000	0.76580	0.52545	1.00615	
1.20000	0.79924	0.54527	1.05321	
1.30000	0.83268	0.56478	1.10058	
1.40000	0.86612	0.58403	1.14822	
1.50000	0.89956	0.60304	1.19608	
1.60000	0.93300	0.62187	1.24414	
1.70000	0.96644	0.64052	1.29237	
1.80000	0.99989	0.65902	1.34075	
1.90000	1.03333	0.67740	1.38925	
2.00000	1.06677	0.69566	1.43787	
2.10000	1.10021	0.71383	1.48659	
2.20000	1.13365	0.73190	1.53540	
2.30000	1.16709	0.74990	1.58428	
2.40000	1.20053	0.76782	1.63324	
2.50000	1.23397	0.78569	1.68225	
2.60000	1.26741	0.80349	1.73133	
2.70000	1.30085	0.82125	1.78045	
2.80000	1.33429	0.83896	1.82963	
2.90000	1.36773	0.85662	1.87884	
3.00000	1.40117	0.87425	1.92809	
